,Year,Month,Activity,Type,Fatal
0,1543,,Pearl diving,Unprovoked,1
1,1580,Jan,Man fell overboard from ship. Those on board threw a rope to him with a wooden block & were pulling him to the ship,Unprovoked,1
2,1642,Unknown,Swimming ,Unprovoked,1
3,1700,Unknown,Bathing,Unprovoked,0
4,1700,Unknown,Bathing,Unprovoked,1
5,1703,Mar,Swimming,Unprovoked,0
6,1721,June,Swimming,Unprovoked,1
7,1738,Apr,Swimming,Unprovoked,1
8,1742,Dec,Swimming,Unprovoked,1
9,1748,Unknown,Pearl diving,Unprovoked,1
10,1749,Unknown,Swimming,Unprovoked,0
11,1751,Jul,Swimming,Unprovoked,1
12,1753,Oct,Fell overboard,Unprovoked,1
13,1758,Unknown,"Fell overboard from a frigate & was swallowed by a shark. The captain fired a gun at the shark, and ""the creature cast the man out of his throat.""",Unprovoked,0
14,1764,Unknown,Swimming,Unprovoked,1
15,1771,Jul,Fishing,Unprovoked,1
16,1776,Reported,Murder,Unprovoked,1
17,1779,Unknown,Surfing,Unprovoked,1
18,1780,Aug,Swimming,Unprovoked,1
19,1784,Dec,Swimming,Unprovoked,1
20,1786,Aug,Washing himself,Unprovoked,1
21,1787,Jul,Swimming,Unprovoked,1
22,1788,May,Fishing,Unprovoked,0
23,1792,Sep,Fishing,Provoked,1
24,1797,28,Dropped overboard,Unprovoked,1
25,1800,Unknown,a corsair's boat was overturned,Unprovoked,1
26,1801,Dec,Standing on landed shark's tail,Provoked,1
27,1808,Dec,Swimming,Unprovoked,1
28,1808,Feb,Bathing,Unprovoked,1
29,1810,Sep,Fell into the water,Unprovoked,1
30,1811,Mar,Fell overboard,Unprovoked,1
31,1812,May,Swimming,Unprovoked,0
32,1815,October,Bathing,Unprovoked,1
33,1816,Sept,Swimming,Unprovoked,1
34,1817,Feb,Conch diver,Unprovoked,0
35,1817,Jun,Swimming,Unprovoked,1
36,1817,Jun,Swimming,Unprovoked,1
37,1817,May,Swimming,Unprovoked,1
38,1820,Unknown,Swimming,Unprovoked,1
39,1826,Aug,HBM Magpie foundered in a squall,Unprovoked,1
40,1826,May,Jumped overboard,Unprovoked,1
41,1826,Nov,Bathing,Unprovoked,1
42,1827,Jun,Swimming,Unprovoked,0
43,1827,Jun,Swimming,Unprovoked,0
44,1828,Sep,"British ship, Britannia,  was loading lumber. He was bathing",Unprovoked,0
45,1828,Unknown,Surfing,Unprovoked,1
46,1829,Jun,Fell overboard from the ship Gem,Unprovoked,1
47,1829,Unknown,Wreck of the schooner Driver,Unprovoked,1
48,1830,Apr,Bathing,Unprovoked,1
49,1830,Jul,"Fishing from dory, shark upset boat & he fell into the water",Unprovoked,1
50,1830,Jul,Washing a dog,Unprovoked,1
51,1831,Aug,American schooner Orator capsized  ,Unprovoked,1
52,1832,Jan,Bathing,Unprovoked,0
53,1832,Jun,Fishing,Unprovoked,0
54,1834,Jul,Swimming,Unprovoked,1
55,1835,Feb,Bathing,Unprovoked,1
56,1835,Jan,Hooking into a whale,Unprovoked,0
57,1837,Jan,Washing his feet,Unprovoked,1
58,1837,Jul,Bathing,Unprovoked,0
