Case Number,Date,Year,Country,Area,Location,Injury,Fatal (Y/N),Month,Hemisphere,Season,year_by_50
1703.03.26,26-Mar-1703,1703,DOMINICA,Southwest coast,Carlisle Bay,"Hand and foot severely bitten, surgically amputated",N,3,North,Spring,1800
1738.04.06.R,Reported 06-Apr-1738,1738,ITALY,Sicily,Strait of Messina,FATAL,Y,4,North,Spring,1800
1742.12.17,17-Dec-1742,1742,DOMINICA,Not applicable,Carlisle Bay,FATAL,Y,12,North,Winter,1800
1751.07.27,27-Jul-1751,1751,USA,Massachusetts,Not applicable,FATAL,Y,7,North,Summer,1800
1753.10.27.R,Reported 27-Oct-1753,1753,JAMAICA,Not applicable,Kingston Harbor,FATAL,Y,10,North,Autumn,1800
1771.07.12.R,Reported 12-Jul-1771,1771,USA,Not applicable,Damiscotte,FATAL,Y,7,North,Summer,1800
1780.08.08,08-Aug-1780,1780,USA,Florida,"Pensacola Harbor, Escambia County",FATAL,Y,8,North,Summer,1800
1783.03.02,02-Mar-1783,1783,MARTINIQUE,Not applicable,Foundering of the privateer Holker,Many of the crew were taken by sharks,Y,3,North,Spring,1800
1784.12.12,12-Dec-1784,1784,JAMAICA,Not applicable,Kingston,,Y,12,North,Winter,1800
1785.09.26.R,Reported 26-Sep-1785,1785,UK,Sussex,Brighton,Human remains recovered from shark,Y,9,North,Autumn,1800
1786.08.10.R,Reported 10-Aug-1786,1786,BARBADOS,Not applicable,Not applicable,FATAL,Y,8,North,Summer,1800
1787.07.05,05-Jul-1787,1787,SAINT HELENA,St Helena,Landing Place,FATAL,Y,7,South,Winter,1800
1788.05.10,10-May-1788,1788,AUSTRALIA,New South Wales,Sydney Harbor,"No injury to occupants, shark bit oar and rudder",N,5,South,Autumn,1800
1792.09.12,12-Sep-1792,1792,UK,Not applicable,On the Thames River,"FATAL, PROVOKED INCIDENT",Y,9,North,Autumn,1800
1802.04.13.R,Reported Apr-13-1802,1802,INDIA,Not applicable,Not applicable,FATAL,Y,4,North,Spring,1850
1803.05.17,May-17-1803,1803,USA,South Carolina,Off Charleston,No injury,N,5,North,Spring,1850
1804.02.26.R,Reported 26-Feb-1804,1804,AUSTRALIA,New South Wales,"Georges Head, off Port Jackson",No injury to occupants,N,2,South,Summer,1850
1807.01.12,12-Jan-1807,1807,AUSTRALIA,New South Wales,"Cockle Bay, Sydney Harbour",Survived,N,1,South,Summer,1850
1808.06.01.R,Reported 01-May-1808,1808,ANGUILLA,Not applicable,Falmouth Harbour,Probable drowning & scavenging,,5,North,Spring,1850
1808.12.25.R,Reported 25-Dec-1808,1808,JAMAICA,Not applicable,Port Royal Harbour,FATAL,Y,12,North,Winter,1850
1808.02.07.R,07-Feb-1808,1808,INDIA,Not applicable,Hooghly River,FATAL,Y,2,North,Winter,1850
1810.09.15,15-Sep-1810,1810,USA,South Carolina,Charleston,FATAL,Y,9,North,Autumn,1850
1816.09.03.R,Reported 03-Sept-1816,1816,USA,Rhode Island,Bristol Harbor,FATAL,Y,9,North,Autumn,1850
1817.02.22,22-Feb-1817,1817,SRI LANKA,Not applicable,Gulf of Mannar,Abdomen bitten,N,2,North,Winter,1850
1817.05.11,11-May-1817,1817,SRI LANKA,Western Province,Colombo,FATAL,Y,5,North,Spring,1850
1817.06.15,15-Jun-1817,1817,INDIA,Maharashtra,Bombay (now Mumbai),FATAL,Y,6,North,Summer,1850
1817.06.24,24-Jun-1817,1817,USA,South Carolina,"Charleston Harbor, Charleston County",FATAL,Y,6,North,Summer,1850
1818.05.22.R,Reported 22-May-1818,1818,NORWAY,Not applicable,Herøy,Probable drowning ,,5,North,Spring,1850
1819.07.08.R,Reported 08-Jul-1819,1819,SPAIN,Not applicable,Cadiz,No injury / No attack,,7,North,Summer,1850
1822.04.15,15-Apr-1822,1822,NIGERIA,Rivers State,Bonny River,FATAL,Y,4,North,Spring,1850
1823.12.30.R,Reported 30-Dec-1823,1823,JAMAICA,Not applicable,Not applicable,Human remains found in shark,,12,North,Winter,1850
1826.05.20.R,Reported 20-May-1826,1826,JAMAICA,Not applicable,Not applicable,FATAL,Y,5,North,Spring,1850
1826.08.15.R,Reported 15-Aug-1826,1826,UK,Cumberland,Whitehaven,FATAL,,8,North,Summer,1850
1826.08.28,28-Aug-1826,1826,CUBA,Not applicable,Not applicable,FATAL ,Y,8,North,Summer,1850
1828.09.28,28-Sep-1828,1828,SIERRA LEONE,Western Area,"River Sierra Leone, 35 miles  upriver from Freetown","Left arm severed 2.5"" from elbow, groin, abdomen, right forearm & hand lacerated, flesh removed from thigh, baring femur. Both arms surgically amputated: left arm above elbow, right arm above wrist. Survived",N,9,North,Autumn,1850
1829.06.10,10-Jun-1829,1829,USA,New Jersey,"Sandy Hook Bay, Highlands, Monmouth County",FATAL,Y,6,North,Summer,1850
1829.07.03.R,Reported 03-Jul-1829,1829,SIERRA LEONE,Western Area,Not applicable,Both hands severed,N,7,North,Summer,1850
1830.07.02.R,Reported 02-Jul-1830,1830,INDIA,Tamil Nadu,Madras,FATAL,Y,7,North,Summer,1850
1830.07.26,26-Jul-1830,1830,USA,Massachusetts,"Swampscott, Essex County",FATAL,Y,7,North,Summer,1850
1830.04.30,30-Apr-1830,1830,INDIA,Tamil Nadu,St. Thomé,FATAL,Y,4,North,Spring,1850
1831.08.24,24-Aug-1831,1831,USA,CUBA,Near Havana,FATAL,Y,8,North,Summer,1850
1832.06.04,04-Jun-1832,1832,AUSTRALIA,New South Wales,"South Head, Sydney",Leg severed,N,6,South,Winter,1850
1832.01.23.R,Reported 23-Jan-1832,1832,AUSTRALIA,New South Wales,Sydney,Laceration to leg,N,1,South,Summer,1850
1834.07.15.R,Reported 15-Jul-1834,1834,FRENCH POLYNESIA,Society Islands,Tahiti,FATAL,Y,7,South,Winter,1850
1835.01.06,06-Jan-1835,1835,NEW ZEALAND,35º39 : 165º8',Alongside the whaler Marianne,"""Savagely bitten"" but apparently survived",N,1,South,Summer,1850
1835.02.21.R,Reported 21-Feb-1835,1835,VANUATU,Sanma Province,"Bay of Yago, Espiritu Santo Island",FATAL,Y,2,South,Summer,1850
1837.01.17,17-Jan-1837,1837,AUSTRALIA,New South Wales,Macleay River,"FATAL     Injured by shark, died of tetanus",Y,1,South,Summer,1850
1837.09.03,09-Sep-1837,1837,USA,South Carolina,"Magwoods Wharf, Charleston Harbor, Charleston County",Right foot bittten,N,9,North,Autumn,1850
1839.04.14,14-Apr-1839,1839,CUBA,Matanzas Province (north coast),Matanzas,FATAL,Y,4,North,Spring,1850
1839.11.17,17-Nov-1839,1839,AUSTRALIA,New South Wales,Not applicable,"""Drowned, 2 days later his head was bitten off by a shark""",,11,South,Spring,1850
1840.07.22.R,Reported 22-Jul-1840,1840,USA,South Carolina,"Charleston Harbor, Charleston County","FATAL, body was not recovered",Y,7,North,Summer,1850
1840.09.18.R,Reported 18-Sep-1840,1840,FIJI,Viti Levu Island,Rewa ,Arms & legs severed,N,9,South,Spring,1850
1840.04.09.R,Reported 09-Apr-1840,1840,VENEZUELA,Not applicable,Not applicable,FATAL,Y,4,North,Spring,1850
1841.03.27,27-Mar-1841,1841,AUSTRALIA,New South Wales,"Cockatoo Island, Sydney",FATAL,Y,3,South,Autumn,1850
1842.07.06,06-Jul-1842,1842,USA,New Jersey,"Absecon, Atlantic County",Lacerations to leg  PROVOKED INCIDENT,N,7,North,Summer,1850
1842.07.13,13-Jul-1842,1842,USA,New Jersey,"Absecon, Atlantic County",Lacerations to leg,N,7,North,Summer,1850
1844.05.24,24-May-1844,1844,PUERTO RICO,Island of St. Thomas,Not applicable,FATAL,Y,5,North,Spring,1850
1844.07.20.,20-Jul-1844,1844,NAMIBIA,Not applicable,Not applicable,FATAL,Y,7,South,Winter,1850
1845.07.31.R,Reported 31-Jul-1845,1845,USA,Florida,"Pensacola Bay, Escambia County",FATAL,Y,7,North,Summer,1850
1845.09.10.R,Reported 10-Sep-1845,1845,USA,Florida,"Pensacola Bay, Escambia County",FATAL,Y,9,North,Autumn,1850
1845.09.16.R,Reported 16-Sep-1845,1845,UK,Not applicable,Not applicable,Leg severed,N,9,North,Autumn,1850
1845.11.04,04-Nov-1845,1845,MEXICO,Vera Cruz,Vera Cruz,FATAL,Y,11,North,Autumn,1850
1845.12.26,26-Dec-1845,1845,AUSTRALIA,New South Wales,Newcastle ,FATAL,Y,12,South,Summer,1850
1846.12.08,08-Dec-1846,1846,MEXICO,Veracruz,Vera Cruz,"FATAL, some were taken by sharks",Y,12,North,Winter,1850
1846.08.20.R,Reported 20-Aug-1846,1846,CUBA,Havana Province,Havana Harbor,Leg severed,N,8,North,Summer,1850
1847.02.12,12-Feb-1847,1847,MEXICO,Not applicable,Not applicable,FATAL,Y,2,North,Winter,1850
1847.03.11,11-Mar-1847,1847,AUSTRALIA,Queensland,Moreton Bay,Foot severed,N,3,South,Autumn,1850
1847.07.03.R,Reported 03-Jul-1847,1847,USA,Hawaii,Not applicable,Head & arm bitten,N,7,North,Summer,1850
1847.07.19,19-Jul-1847,1847,GREECE,Corfu,Off the harbor wall at Mandrakina,FATAL,Y,7,North,Summer,1850
1847.09.10,10-Sep-1847,1847,USA,Massachusetts,"Chelsea Beach, Suffolk County",Lacerations to arm,N,9,North,Autumn,1850
1847.11.30,30-Nov-1847,1847,AUSTRALIA,Queensland,Brisbane River,Thigh & calf bitten,N,11,South,Spring,1850
1848.08.31,31-Aug-1848,1848,USA,Maryland,Patapsco River,Left leg severely bitten,N,8,North,Summer,1850
1948.09.17.R,Reported 17-Sep-1848,1848,TURKEY,Adana Province,Yumurtalik,FATAL,Y,9,North,Autumn,1850
1848.07.17.R,Reported 17-Jul-1848,1848,USA,Massachusetts,Cape Cod,Human remains recovered from 4.9 m shark,,7,North,Summer,1850
1849.06.08.a,08-Jun-1849,1849,USA,Florida,"Pensacola, Escambia County",FATAL,Y,6,North,Summer,1850
1849.06.08.b,08-Jun-1849,1849,USA,Florida,"Pensacola, Escambia County",FATAL,Y,6,North,Summer,1850
1849.09.19,19-Sep-1849,1849,AUSTRALIA,Victoria,Warrnambool,FATAL,Y,9,South,Spring,1850
1849.10.04,04-Oct-1849,1849,PERU,Not applicable,Tumbez,FATAL,Y,10,South,Spring,1850
