original order,Case Number,Year,Country,Activity,Sex,Age,Fatal,Species
6303,2018.06.25,2018,USA,Surfing,F,57,N,White shark
6302,2018.06.18,2018,USA,Swimming,F,11,N,Unknown/Other
6301,2018.06.09,2018,USA,Surfing,M,48,N,Unknown/Other
6300,2018.06.08,2018,AUSTRALIA,Surfing,M,0,N,Unknown/Other
6299,2018.06.04,2018,MEXICO,Diving,M,0,N,Tiger shark
6298,2018.06.03.b,2018,AUSTRALIA,Surfing,M,0,N,Unknown/Other
6297,2018.06.03.a,2018,BRAZIL,Swimming,M,18,Y,Tiger shark
6296,2018.05.27,2018,USA,Fishing,M,52,N,Lemon shark
6295,2018.05.26.b,2018,USA,Swimming,M,15,N,Bull shark
6294,2018.05.26.a,2018,USA,Swimming,M,12,N,Unknown/Other
6293,2018.05.24,2018,AUSTRALIA,Other,M,32,N,Reef shark
6292,2018.05.21,2018,USA,Surfing,M,10,N,Unknown/Other
6291,2018.05.13.b,2018,USA,Swimming,M,10,N,Unknown/Other
6290,2018.05.13.a,2018,UNITED KINGDOM,Fishing,M,21,N,Unknown/Other
6289,2018.05.00,2018,AUSTRALIA,Other,F,34,N,Nurse shark
6288,2018.05.12,2018,SOUTH AFRICA,Surfing,M,0,N,Unknown/Other
6286,2018.04.30.R,2018,THAILAND,Swimming,M,0,N,Unknown/Other
6285,2018.04.28.b,2018,COSTA RICA,Diving,M,30,N,Tiger shark
6284,2018.04.28.a,2018,AUSTRALIA,Surfing,M,0,N,Unknown/Other
6283,2018.04.25.b,2018,AUSTRALIA,Surfing,M,0,N,Unknown/Other
6282,2018.04.25.a,2018,AUSTRALIA,Surfing,M,60,N,Unknown/Other
6281,2018.04.24,2018,AUSTRALIA,Surfing,M,0,N,White shark
6280,2018.04.23,2018,MALDIVES,Fishing,M,32,N,Tiger shark
6279,2018.04.22,2018,SOUTH AFRICA,Kayaking,M,33,N,White shark
6278,2018.04.19,2018,USA,Surfing,M,29,N,Unknown/Other
6277,2018.04.15.d,2018,THAILAND,Swimming,M,54,N,Bull shark
6276,2018.04.15.c,2018,BRAZIL,Swimming,M,34,UNKNOWN,Unknown/Other
6275,2018.04.15.b,2018,AUSTRALIA,Surfing,M,41,N,Unknown/Other
6274,2018.04.15.a,2018,AUSTRALIA,Surfing,M,37,N,Unknown/Other
6273,2018.04.14,2018,BAHAMAS,Surfing,M,0,N,Tiger shark
6271,2018.04.09,2018,NEW CALEDONIA,Surfing,Unknown,0,N,Unknown/Other
6270,2018.04.05,2018,BAHAMAS,Swimming,M,12,N,Bull shark
6269,2018.04.03,2018,SOUTH AFRICA,Surfing,M,19,N,White shark
6268,2018.03.31,2018,USA,Surfing,M,25,N,Tiger shark
6267,2018.03.14,2018,AUSTRALIA,Swimming,M,10,N,Wobbegong shark
6266,2018.03.09.b,2018,AUSTRALIA,Swimming,M,69,N,Unknown/Other
6265,2018.03.09.a,2018,AUSTRALIA,Surfing,M,18,N,Unknown/Other
6264,2018.02.24,2018,SOUTH AFRICA,Diving,M,38,N,Blacktip shark
6263,2018.02.23,2018,AUSTRALIA,Swimming,F,55,N,White shark
6262,2018.02.17,2018,AUSTRALIA,Fishing,M,34,N,Unknown/Other
6261,2018.02.15,2018,AUSTRALIA,Swimming,M,35,N,Bull shark
6260,2018.02.14,2018,AUSTRALIA,Swimming,F,0,N,Unknown/Other
6259,2018.02.11,2018,BRAZIL,Other,F,46,N,Unknown/Other
6258,2018.02.03,2018,ECUADOR,Swimming,M,45,N,Galapagos shark
6257,2018.02.01,2018,AUSTRALIA,Fishing,M,14,N,Unknown/Other
6256,2018.01.28,2018,AUSTRALIA,Other,M,18,N,Bull shark
6255,2018.01.21,2018,NEW CALEDONIA,Fishing,M,40,N,Bull shark
6254,2018.01.14,2018,AUSTRALIA,Diving,M,0,N,Reef shark
6253,2018.01.13,2018,AUSTRALIA,Diving,M,28,N,White shark
6252,2018.01.12,2018,BRAZIL,Surfing,M,20,N,Unknown/Other
6251,2018.01.05,2018,AUSTRALIA,Surfing,M,0,N,Wobbegong shark
6250,2017.12.31,2017,USA,Surfing,F,54,N,Tiger shark
6249,2017.12.30,2017,USA,Surfing,F,35,N,Unknown/Other
6248,2017.12.21,2017,MALAYSIA,Swimming,M,24,N,Nurse shark
6247,2017.12.09,2017,BAHAMAS,Swimming,F,25,N,Nurse shark
6246,2017.11.30.b,2017,COSTA RICA,Diving,M,26,N,Tiger shark
6245,2017.11.30.a,2017,COSTA RICA,Diving,F,49,Y,Tiger shark
6244,2017.11.25.R,2017,LIBYA,Shipwreck,Unknown,0,Y,Blue shark
6243,2017.11.24,2017,USA,Fishing,M,25,N,White shark
6242,2017.11.18,2017,USA,Surfing,F,14,N,Unknown/Other
6241,2017.11.13.R,2017,UNKNOWN,Surfing,M,24,N,Unknown/Other
6240,2017.11.13,2017,AUSTRALIA,Surfing,M,25,N,Unknown/Other
6239,2017.11.04,2017,CUBA,Swimming,M,22,Y,Tiger shark
6238,2017.10.31.R,2017,AUSTRALIA,Swimming,M,7,N,Unknown/Other
6237,2017.10.28,2017,AUSTRALIA,Surfing,M,31,N,Wobbegong shark
6236,2017.10.26,2017,USA,Surfing,M,0,N,Unknown/Other
6235,2017.10.23.c,2017,MAURITIUS,Swimming,M,0,N,Unknown/Other
6234,2017.10.23.b,2017,USA,Surfing,M,17,N,Unknown/Other
6233,2017.10.23.a,2017,USA,Swimming,F,60,N,Unknown/Other
6232,2017.10.22,2017,AUSTRALIA,Fishing,F,15,N,White shark
6231,2017.10.21,2017,NEW ZEALAND,Kayaking,M,0,N,Unknown/Other
6230,2017.10.18,2017,USA,Swimming,M,0,N,Spinner shark
6229,2017.10.09,2017,USA,Surfing,M,54,N,Tiger shark
6228,2017.10.05,2017,USA,Swimming,F,40,N,Unknown/Other
6227,2017.10.01,2017,SOUTH AFRICA,Diving,M,31,UNKNOWN,Unknown/Other
6226,2017.09.25.b,2017,USA,Surfing,M,0,N,Unknown/Other
6225,2017.09.25.a,2017,AUSTRALIA,Surfing,M,0,N,White shark
6224,2017.09.24.b,2017,USA,Surfing,M,33,UNKNOWN,Unknown/Other
6223,2017.09.24.a,2017,USA,Surfing,M,0,N,Unknown/Other
6222,2017.09.20,2017,USA,Surfing,M,0,N,Unknown/Other
6221,2017.09.16.b,2017,SPAIN,Surfing,M,13,N,Unknown/Other
6220,2017.09.16.a,2017,USA,Surfing,M,28,N,Unknown/Other
6219,2017.09.15.b,2017,SOUTH AFRICA,Diving,M,25,UNKNOWN,Unknown/Other
6218,2017.09.15.a,2017,SAMOA,Fishing,M,0,N,Unknown/Other
6217,2017.09.14,2017,AUSTRALIA,Fishing,Unknown,0,N,White shark
6216,2017.09.13,2017,USA,Surfing,M,18,N,Unknown/Other
6215,2017.09.10.b,2017,AUSTRALIA,Swimming,M,0,N,Unknown/Other
6214,2017.09.10.a,2017,AUSTRALIA,Surfing,M,35,N,White shark
6213,2017.09.06.R,2017,SOLOMON ISLANDS,Fishing,M,0,N,Unknown/Other
6212,2017.09.03.b,2017,SOUTH AFRICA,Swimming,M,0,Y,Unknown/Other
6211,2017.09.03.a,2017,JAPAN,Surfing,M,42,N,Unknown/Other
6210,2017.09.02.c,2017,USA,Swimming,M,0,N,Nurse shark
6209,2017.09.02.b,2017,USA,Swimming,F,0,N,Unknown/Other
6208,2017.09.02.a,2017,USA,Surfing,M,17,N,Unknown/Other
6207,2017.08.29,2017,AUSTRALIA,Surfing,M,37,N,White shark
6206,2017.08.27,2017,USA,Swimming,F,3,N,Unknown/Other
6205,2017.08.26.b,2017,SPAIN,Swimming,F,11,UNKNOWN,Unknown/Other
6204,2017.08.26.a,2017,NEW ZEALAND,Kayaking,M,0,N,Unknown/Other
6203,2017.08.23,2017,USA,Other,M,69,N,White shark
6202,2017.08.18,2017,BAHAMAS,Fishing,M,0,N,Unknown/Other
6201,2017.08.10,2017,USA,Swimming,M,13,N,Blacktip shark
6200,2017.08.05,2017,EGYPT,Swimming,F,20,N,White shark
6199,2017.08.03,2017,USA,Fishing,M,34,N,Unknown/Other
6198,2017.08.01,2017,USA,Fishing,M,0,N,White shark
6197,2017.07.31,2017,USA,Surfing,M,15,N,Unknown/Other
6196,2017.07.29.c,2017,USA,Swimming,M,10,UNKNOWN,Unknown/Other
6195,2017.07.29.a,2017,USA,Other,F,12,N,Unknown/Other
6194,2017.07.27,2017,BAHAMAS,Swimming,F,0,N,Unknown/Other
6193,2017.07.26.R,2017,BAHAMAS,Fishing,M,0,N,Unknown/Other
6192,2017.07.24,2017,"ST HELENA, BRITISH OVERSEAS TERRITORY",Surfing,M,37,N,Unknown/Other
6191,2017.07.23.b,2017,USA,Other,F,0,N,Tiger shark
6190,2017.07.23.a,2017,SPAIN,Swimming,F,0,N,Blue shark
6189,2017.07.22,2017,USA,Other,F,40,N,Unknown/Other
6187,2017.07.20.b,2017,USA,Kayaking,M,40,N,White shark
6186,2017.07.20.a,2017,USA,Other,M,50,N,White shark
6185,2017.07.14.b,2017,USA,Surfing,M,0,N,White shark
6184,2017.07.14.a,2017,AUSTRALIA,Surfing,M,0,N,Unknown/Other
6183,2017.07.11,2017,USA,Kayaking,M,0,N,White shark
6182,2017.07.09,2017,USA,Swimming,M,46,N,Bull shark
6181,2017.07.07.R,2017,MEXICO,Fishing,M,32,N,Tiger shark
6180,2017.07.07,2017,SOUTH AFRICA,Surfing,F,13,N,White shark
6177,2017.06.21,2017,USA,Swimming,F,16,N,Unknown/Other
6176,2017.06.19,2017,USA,Surfing,M,0,N,Unknown/Other
6175,2017.06.18.b,2017,USA,Swimming,F,14,N,Bull shark
6174,2017.06.18.a,2017,REUNION,Surfing,M,34,N,Bull shark
6173,2017.06.17,2017,SPAIN,Swimming,M,82,N,Unknown/Other
6172,2017.06.05,2017,FRENCH POLYNESIA,Surfing,M,0,N,Unknown/Other
6171,2017.06.14.R,2017,BAHAMAS,Other,F,0,N,Unknown/Other
6170,2017.06.11,2017,AUSTRALIA,Surfing,M,48,N,White shark
6169,2017.06.10.b,2017,AUSTRALIA,Surfing,F,0,N,Sevengill shark
6168,2017.06.10.a,2017,USA,Surfing,M,19,N,Unknown/Other
6167,2017.06.07.R,2017,UNITED KINGDOM,Surfing,M,30,N,Unknown/Other
6166,2017.06.04,2017,USA,Fishing,M,0,N,Unknown/Other
6165,2017.06.02,2017,BAHAMAS,Swimming,F,32,N,Tiger shark
6164,2017.05.30,2017,USA,Other,F,20,N,Unknown/Other
6163,2017.05.28,2017,USA,Other,M,0,N,Tiger shark
6162,2017.05.27,2017,AUSTRALIA,Fishing,M,73,N,Unknown/Other
6161,2017.05.12,2017,UNITED ARAB EMIRATES,Fishing,M,41,N,Unknown/Other
6160,2017.05.06.R,2017,AUSTRALIA,Other,M,29,N,Unknown/Other
6159,2017.05.06,2017,MEXICO,Swimming,M,33,Y,Unknown/Other
6158,2017.05.03,2017,USA,Surfing,F,18,UNKNOWN,Unknown/Other
6157,2017.04.29.d,2017,USA,Swimming,F,0,N,Unknown/Other
6156,2017.04.29.c,2017,SOUTH AFRICA,Surfing,M,14,N,Unknown/Other
6155,2017.04.29.b,2017,USA,Surfing,F,33,N,Unknown/Other
6154,2017.04.29.a,2017,REUNION,Surfing,M,28,Y,Unknown/Other
6153,2017.04.27,2017,NEW ZEALAND,Surfing,F,20,N,Unknown/Other
6151,2017.04.22,2017,"ST HELENA, BRITISH OVERSEAS TERRITORY",Swimming,F,40,N,Unknown/Other
6149,2017.04.17.b,2017,USA,Other,Unknown,0,N,Unknown/Other
6148,2017.04.17.a,2017,AUSTRALIA,Surfing,F,17,Y,White shark
6147,2017.04.14,2017,USA,Surfing,M,28,N,Tiger shark
6146,2017.04.13,2017,USA,Surfing,M,17,N,Unknown/Other
6145,2017.04.12.b,2017,USA,Surfing,F,0,N,Unknown/Other
6143,2017.04.11,2017,USA,Surfing,F,35,N,Unknown/Other
6142,2017.04.10.b,2017,USA,Surfing,F,10,N,Unknown/Other
6141,2017.04.10.a,2017,USA,Swimming,F,21,N,Unknown/Other
6140,2017.04.06,2017,USA,Swimming,M,16,N,Unknown/Other
6139,2017.04.05,2017,USA,Swimming,F,51,N,Unknown/Other
6138,2017.04.02.b,2017,AUSTRALIA,Other,M,39,N,Unknown/Other
6137,2017.04.02.a,2017,USA,Swimming,F,17,N,Bull shark
6136,2017.03.27,2017,USA,Surfing,M,58,N,Unknown/Other
6135,2017.03.19,2017,AUSTRALIA,Surfing,M,30,N,Unknown/Other
6134,2017.03.18,2017,USA,Kayaking,M,0,N,White shark
6133,2017.03.11,2017,PHILIPPINES,Fishing,M,25,N,Unknown/Other
6132,2017.03.09,2017,BAHAMAS,Swimming,M,58,N,Lemon shark
6131,2017.02.25,2017,AUSTRALIA,Swimming,F,0,N,Bull shark
6130,2017.02.24,2017,AUSTRALIA,Surfing,M,0,N,Unknown/Other
6129,2017.02.21,2017,REUNION,Surfing,M,26,Y,Unknown/Other
6128,2017.02.17,2017,AUSTRALIA,Fishing,M,26,N,Unknown/Other
