,Year,Month,Activity,Type,Fatal
0,2018,Jun,Paddling,Unprovoked,0
1,2018,Jun,Standing,Unprovoked,0
2,2018,Jun,Surfing,Invalid,0
3,2018,Jun,Surfing,Unprovoked,0
4,2018,Jun,Free diving,Provoked,0
5,2018,Jun,Kite surfing,Unprovoked,0
6,2018,Jun,Swimming,Unprovoked,1
7,2018,May,Fishing,Unprovoked,0
8,2018,May,Walking,Unprovoked,0
9,2018,May,Standing,Unprovoked,0
10,2018,May,Feeding sharks,Provoked,0
11,2018,May,Boogie boarding,Unprovoked,0
12,2018,May,Swimming,Unprovoked,0
13,2018,May,Fishing,Invalid,0
14,2018,May,Feeding sharks,Provoked,0
15,2018,May,Surfing,Unprovoked,0
16,2018,May,Surfing,Questionable,0
17,2018,Apr,Swimming,Unprovoked,0
18,2018,Apr,Scuba diving,Unprovoked,0
19,2018,Apr,Surfing,Unprovoked,0
20,2018,Apr,Surfing,Questionable,0
21,2018,Apr,Surfing,Unprovoked,0
22,2018,Apr,Surfing,Unprovoked,0
23,2018,Apr,Fishing,Unprovoked,0
24,2018,Apr,Paddle-skiing,Unprovoked,0
25,2018,Apr,Body boarding,Unprovoked,0
26,2018,Apr,Swimming,Unprovoked,0
27,2018,Apr,Surfing,Unprovoked,0
28,2018,Apr,Surfing,Unprovoked,0
29,2018,Apr,Surfing,Unprovoked,0
30,2018,Apr,Fishing,Invalid,0
31,2018,Apr,Windsurfing,Unprovoked,0
32,2018,Apr,Swimming,Unprovoked,0
33,2018,Apr,Surfing,Unprovoked,0
34,2018,Mar,Stand-Up Paddleboarding,Unprovoked,0
35,2018,Mar,Wading,Unprovoked,0
36,2018,Mar,Swimming,Unprovoked,0
37,2018,Mar,Surfing,Unprovoked,0
38,2018,Feb,Scuba Diving,Unprovoked,0
39,2018,Feb,Swimming,Unprovoked,0
40,2018,Feb,Kayak fishing for sharks,Provoked,0
41,2018,Feb,Walking,Unprovoked,0
42,2018,Feb,Swimming,Invalid,0
43,2018,Feb,Cleaning fish,Invalid,0
44,2018,Feb,Snorkeling,Unprovoked,0
45,2018,Feb,Spearfishing,Invalid,0
46,2018,Jan,Spearfishing,Unprovoked,0
47,2018,Jan,Diving,Unprovoked,0
48,2018,Jan,Free diving,Unprovoked,0
49,2018,Jan,Surfing,Unprovoked,0
50,2018,Jan,Surfing,Unprovoked,0
51,2017,Dec,Surfing,Unprovoked,0
52,2017,Dec,Surfing,Unprovoked,0
53,2017,Dec,Fishing / Wading,Provoked,0
54,2017,Dec,Snorkeling,Unprovoked,0
55,2017,Nov,Scuba Diving,Unprovoked,0
56,2017,Nov,Scuba diving,Unprovoked,1
57,2017,Nov,2 boats capsized,Unprovoked,1
58,2017,Nov,Spearfishing,Unprovoked,0
59,2017,Nov,Surfing,Unprovoked,0
60,2017,Nov,Surfing,Unprovoked,0
61,2017,Nov,Surfing,Unprovoked,0
62,2017,Nov,Night bathing,Unprovoked,1
63,2017,Oct,Snorkeling,Unprovoked,0
64,2017,Oct,Surfing,Unprovoked,0
65,2017,Oct,Stand-Up Paddleboarding,Unprovoked,0
66,2017,Oct,Swimming,Unprovoked,0
67,2017,Oct,Surfing ,Unprovoked,0
68,2017,Oct,Swimming,Unprovoked,0
69,2017,Oct,Kayaking / Fishing,Unprovoked,0
70,2017,Oct,Kayaking,Unprovoked,0
71,2017,Oct,Swimming,Unprovoked,0
72,2017,Oct,Surfing,Unprovoked,0
73,2017,Oct,Snorkeling,Unprovoked,0
74,2017,Sep,Surfing,Unprovoked,0
75,2017,Sep,Surfing,Unprovoked,0
76,2017,Sep,Surfing,Unprovoked,0
77,2017,Sep,Surfing,Unprovoked,0
78,2017,Sep,Body surfing,Unprovoked,0
79,2017,Sep,Surfing,Unprovoked,0
80,2017,Sep,Fishing,No provocado,0
81,2017,Sep,Fishing,Unprovoked,0
82,2017,Sep,Surfing,Unprovoked,0
83,2017,Sep,Swimming,Unprovoked,0
84,2017,Sep,Surfing,Unprovoked,0
85,2017,Sep,Spearfishing,Unprovoked,0
86,2017,Sep,"Swimming, poaching abalone",Unprovoked,1
87,2017,Sep,Surfing,Unprovoked,0
88,2017,Sep,Swimming,Unprovoked,0
89,2017,Sep,Swimming,Unprovoked,0
90,2017,Sep,Surfing,Unprovoked,0
91,2017,Aug,Surfing,Unprovoked,0
92,2017,Aug,Wading,Unprovoked,0
93,2017,Aug,Canoeing,Unprovoked,0
94,2017,Aug,SUP,Unprovoked,0
95,2017,Aug,Spearfishing,Unprovoked,0
96,2017,Aug,Swimming,Unprovoked,0
97,2017,Aug,Snorkeling,Unprovoked,0
98,2017,Aug,Fishing,Provoked,0
99,2017,Aug,Kayaking / Fishing,Unprovoked,0
100,2017,Jul,Skimboarding,Unprovoked,0
101,2017,Jul,Snorkeling,Unprovoked,0
102,2017,Jul,Spearfishing,Unprovoked,0
103,2017,Jul,Surfing,Unprovoked,0
104,2017,Jul,Swimming,Unprovoked,0
105,2017,Jul,Kayaking,Unprovoked,0
106,2017,Jul,SUP,Unprovoked,0
107,2017,Jul,Surfing,Unprovoked,0
108,2017,Jul,Surfing,Unprovoked,0
109,2017,Jul,Kayaking,Unprovoked,0
110,2017,Jul,Swimming,Unprovoked,0
111,2017,Jul,Fishing,Provoked,0
112,2017,Jul,Surfing,Unprovoked,0
113,2017,Jun,Swimming,Unprovoked,0
114,2017,Jun,Surfing,Unprovoked,0
115,2017,Jun,Swimming,Unprovoked,0
116,2017,Jun,Body boarding,Unprovoked,0
117,2017,Jun,Swimming,Unprovoked,0
118,05,06,Surfing,Unprovoked,0
119,2017,Jun,Feeding sharks,Unprovoked,0
120,2017,Jun,Body boarding,Unprovoked,0
121,2017,Jun,Surfing,Unprovoked,0
122,2017,Jun,Surfing,Unprovoked,0
123,2017,Jun,Surfing ,Unprovoked,0
124,2017,Jun,Spearfishing,Unprovoked,0
125,2017,Jun,Snorkeling,Unprovoked,0
126,2017,May,Touching a shark,Provoked,0
127,2017,May,Feeding sharks,Unprovoked,0
128,2017,May,Fishing ,Invalid,0
129,2017,May,Spearfishing,Unprovoked,0
130,2017,May,Attempting to lasso a shark,Provoked,0
131,2017,May,Snorkeling,Unprovoked,1
132,2017,Apr,Swimming,Unprovoked,0
133,2017,Apr,Surfing,Unprovoked,0
134,2017,Apr,Surfing,Unprovoked,0
135,2017,Apr,Body boarding,Unprovoked,1
136,2017,Apr,Body boarding,Unprovoked,0
137,2017,Apr,Snorkeling,Unprovoked,0
138,2017,Apr,Surfing,Unprovoked,1
139,2017,Apr,Surfing,Unprovoked,0
140,2017,Apr,Surfing,Unprovoked,0
141,2017,Apr,Surfing,Unprovoked,0
