attack_date,Country,Area,Location,Activity,Gender,Fatal_Y/N
1960-08-14,MOZAMBIQUE,Delagoa Bay,Bella Vista,boat with 46 people on board capsized,Unknown,Unknown
1960-08-30,USA,New Jersey,"Ocean City, Cape May County",Swimming 3 miles offshore,M,N
1960-08-29,SENEGAL,Cap-Vert Peninsula,off Dakar,Air disaster: crash of Air France Super Constellation ,Unknown,Y
1960-08-25,USA,Texas,30 miles east of Corpus Christi,Aircraft crashed into sea,M,Unknown
1960-08-24,USA,Connecticut,"Off Eames Monument, Bridgeport, Fairfield County",Free diving,M,N
1960-08-22,PAPUA NEW GUINEA,Milne Bay Province,Unknown,Free-diving,M,N
1960-08-22,USA,New Jersey,"Seaside Park, Ocean County",Unknown,M,N
1960-08-21,USA,New Jersey,"Sea Girt, Monmouth County",Standing in knee-deep water,M,N
1960-08-10,USA,Florida,Key Largo Sound,Holding shark on leader & dangling it above the water,M,N
1960-06-27,NORTH SEA,"Unknown, treated at Wick, SCOTLAND","On board  East German fishing trawler, I Mai",Fishing,M,N
1960-08-04,USA,Delaware,"Mispillion Light, Delaware Bay","Fishing, Struck by another shark when removing shark from line",M,N
1960-08-01,USA,South Carolina,Parris Island,Swimming from camp,M,Y
1960-07-27,PAPUA NEW GUINEA,Milne Bay Province,"Taupota, Samarai ",Spearfishing,M,N
1960-07-05,USA,Mississippi,Mississippi City,Pulling raft out to ride to shore,M,N
1960-07-03,USA,Virginia,Hog Island,"Fishing, tossing netted shark onboard",M,N
1960-07-02,PAPUA NEW GUINEA,Madang,"Bimat, Bogia",Fishing,M,N
1960-06-29,USA,South Carolina,"Little River Beach, Horry County",Surf fishing,M,N
1960-06-27,NEW ZEALAND,Cook Strait,Tory Channel,Shark fishing,Unknown,N
1960-09-01,MARSHALL ISLANDS,Eniwetok Atoll,Parry Island,Free diving / Spearfishing,M,Unknown
1960-08-04,ENGLAND,In the English Channel ,Off the south Devon coast,Helping angler land a shark,M,N
1960-09-02,MARSHALL ISLANDS,Eniwetok Atoll,Lagoon along Sand Island,Free diving / Spearfishing,M,Unknown
1960-12-27,USA,Hawaii,"Maile Point, O'ahu",Swept out to sea while net fishing,M,Y
1960-09-22,PACIFIC OCEAN,180 miles southeast of Okinawa,Unknown,R5D aircraft went down with 29 on board,M,N
1960-06-24,USA,Florida,"2 miles east of Dania Beach, Broward County",Scuba diving,M,N
1960-12-27,AUSTRALIA,New South Wales,"Bondi Beach, Sydney",Unknown,F,N
1960-12-24,SOUTH AFRICA,KwaZulu-Natal,Margate,Swimming,M,Y
1960-12-20,AUSTRALIA,Queensland,"College�s Crossing, 54 miles above mouth of the Brisbane River","Fishing, when line became snagged on rock & he dived into water to free it ",M,N
1960-12-01,AUSTRALIA,Queensland,"Colledge's Crossing, Brisbane River",Fishing,M,N
1960-11-27,AUSTRALIA,Queensland,"Black�s Beach, 9 miles north of Mackay",Swimming,M,N
1960-11-22,USA,Florida,"Hutchinson Island Beach, Martin County","Fell overboard, prop slashed arm",F,Unknown
1960-11-11,AUSTRALIA,Queensland,"Scott�s Point, Redcliffe Peninsula",Chasing shark out of bathing area while riding on a surf-ski,M,N
1960-11-06,AUSTRALIA,Western Australia,Hamelin Bay,"Spearfishing, speared fish retreated to cave where shark grabbed his arm",M,N
1960-11-01,SOUTH AFRICA,Western Cape Province,"5 km from Gordon�s Bay, False Bay",Hand lining for shad,Unknown,N
1960-11-01,NEW GUINEA,Western District,Toro Passage,Unknown,M,N
1960-11-01,PAPUA NEW GUINEA,Central Province,Abau Subdistrict,Fishing,M,Y
1960-10-25,USA,California,"Off Point Mugu, Ventura County",Ejected from F3H-2 aircraft ,M,N
1960-10-24,SOUTH AFRICA,Western Cape Province,"Jacobs Bay Reef, Saldanha Bay",Fishing for rock lobsters,Unknown,N
1960-10-02,AUSTRALIA,New South Wales,North Head,Fishing,M,Unknown
1960-10-01,PAPUA NEW GUINEA,New Britain,"East Nakanai, Talasea",Collecting shells,M,N
1960-10-01,RED SEA / INDIAN OCEAN,Enroute from Suez to Aden (Yemen),Unknown,Cargo ship El Gamil entroute Suez to Yemen (Aden) when her cargo shifted and she sank. 19 Egyption sailors jumped into the water and swam for several hours before being bitten by sharks,M,Y
1960-10-01,USA,Florida,Haulover Inlet,Diving,M,Unknown
1960-10-01,SOUTH AFRICA,Western Cape Province,False Bay,Fishing,Unknown,N
1960-10-01,JOHNSTON ISLAND,Unknown,Unknown,"Free diving / photography, kneeling on sand",M,Unknown
1960-09-24,USA,South Carolina,"Atlantic Beach, Horry County",Fishing inside net,M,N
1960-09-18,AUSTRALIA,Western Australia,Frenchman Bay,Unknown,Unknown,N
1960-06-07,USA,California,"10 miles off Santa Barbara, Santa Barbara County","Testing classified underwater electronic gear for Raytheon Corporation, vessel torn apart by explosion",M,Unknown
1960-05-24,BERMUDA,Paget,Elbow Beach /  Coral Beach,Free diving but treading water at surface,M,N
1960-06-04,USA,Georgia,"North picnic area, Jekyll Island, Glynn County",Swimming,M,N
1960-02-10,AUSTRALIA,New South Wales,Near Bondi Beach,Shark fishing,Unknown,N
1960-02-07,AUSTRALIA,New South Wales,Wattamolla National Park,Spearfishing,M,N
