Date,Year,Month,Day,Type,Country,Activity,Sex,Age,Fatal,Species
2018-06-25,2018,6,25,Boating,Usa,Others,Female,57,No,White Shark
2018-02-23,2018,2,23,Unprovoked,Australia,Swimming,Female,55,No,White Shark
2018-04-15,2018,4,15,Unprovoked,Australia,Surfing,Male,37,No,Unknown
2018-04-14,2018,4,14,Unprovoked,Bahamas,Surfing,Male,27,No,Tiger Shark
2018-04-09,2018,4,9,Unprovoked,New Caledonia,Windsurfing,Unknown,27,No,Others
2018-04-05,2018,4,5,Unprovoked,Bahamas,Swimming,Male,12,No,Bull Shark
2018-04-03,2018,4,3,Unprovoked,South Africa,Surfing,Male,19,No,White Shark
2018-03-31,2018,3,31,Unprovoked,Usa,Others,Male,25,No,Tiger Shark
2018-03-14,2018,3,14,Unprovoked,Australia,Wading,Male,10,No,Wobbegong Shark
2018-03-09,2018,3,9,Unprovoked,Australia,Swimming,Male,69,No,Others
2018-03-09,2018,3,9,Unprovoked,Australia,Surfing,Male,18,No,Others
2018-02-24,2018,2,24,Unprovoked,South Africa,Scuba Diving,Male,38,No,Blacktip
2018-02-17,2018,2,17,Provoked,Australia,Others,Male,34,No,Unknown
2018-04-15,2018,4,15,Unprovoked,Brazil,Swimming,Male,34,Unknown,Unknown
2018-02-15,2018,2,15,Unprovoked,Australia,Walking,Male,35,No,Bull Shark
2018-02-11,2018,2,11,Invalid,Brazil,Others,Female,46,No,Others
2018-02-03,2018,2,3,Unprovoked,Others,Snorkeling,Male,45,No,Others
2018-02-01,2018,2,1,Invalid,Australia,Spearfishing,Male,14,No,Others
2018-01-28,2018,1,28,Unprovoked,Australia,Others,Male,18,No,Bull Shark
2018-01-21,2018,1,21,Unprovoked,New Caledonia,Spearfishing,Male,27,No,Bull Shark
2018-01-14,2018,1,14,Unprovoked,Australia,Diving,Male,27,No,Others
2018-01-13,2018,1,13,Unprovoked,Australia,Free Diving,Male,28,No,White Shark
2018-01-12,2018,1,12,Unprovoked,Brazil,Surfing,Male,20,No,Small Shark
2018-01-05,2018,1,5,Unprovoked,Australia,Surfing,Male,27,No,Wobbegong Shark
2018-06-18,2018,6,18,Unprovoked,Usa,Standing,Female,11,No,Unknown
2018-04-15,2018,4,15,Unprovoked,Australia,Surfing,Male,41,No,Unknown
2018-02-14,2018,2,14,Invalid,Australia,Swimming,Female,27,No,Wobbegong Shark
2018-04-15,2018,4,15,Unprovoked,Others,Swimming,Male,54,No,Bull Shark
2018-05-13,2018,5,13,Invalid,England,Fishing,Male,21,No,Others
2018-04-19,2018,4,19,Unprovoked,Usa,Body Boarding,Male,29,No,Others
2018-06-09,2018,6,9,Invalid,Usa,Surfing,Male,48,No,Unknown
2018-06-08,2018,6,8,Unprovoked,Australia,Surfing,Male,27,No,Others
2018-06-04,2018,6,4,Provoked,Mexico,Free Diving,Male,27,No,Tiger Shark
2018-06-03,2018,6,3,Unprovoked,Australia,Kite Surfing,Male,27,No,Unknown
2018-06-03,2018,6,3,Unprovoked,Brazil,Swimming,Male,18,Yes,Tiger Shark
2018-05-26,2018,5,26,Unprovoked,Usa,Walking,Male,15,No,Bull Shark
2018-05-26,2018,5,26,Unprovoked,Usa,Standing,Male,12,No,Unknown
2018-05-24,2018,5,24,Provoked,Australia,Others,Male,32,No,Others
2018-05-21,2018,5,21,Unprovoked,Usa,Boogie Boarding,Male,10,No,Unknown
2018-05-13,2018,5,13,Unprovoked,Usa,Swimming,Male,10,No,Unknown
2018-05-27,2018,5,27,Unprovoked,Usa,Fishing,Male,52,No,Others
2018-05-01,2018,5,1,Provoked,Australia,Others,Female,34,No,Nurse Shark
2018-04-28,2018,4,28,Unprovoked,Australia,Surfing,Male,27,No,Unknown
2018-04-22,2018,4,22,Unprovoked,South Africa,Others,Male,33,No,White Shark
2018-04-24,2018,4,24,Unprovoked,Australia,Surfing,Male,27,No,White Shark
2018-04-25,2018,4,25,Unprovoked,Australia,Surfing,Male,60,No,Others
2018-04-25,2018,4,25,Questionable,Australia,Surfing,Male,27,No,Questionable Incident
2018-04-23,2018,4,23,Unprovoked,Others,Fishing,Male,32,No,Tiger Shark
2018-04-30,2018,4,30,Unprovoked,Others,Swimming,Male,27,No,Unknown
2018-05-12,2018,5,12,Unprovoked,South Africa,Surfing,Male,27,No,Unknown
2018-04-28,2018,4,28,Unprovoked,Costa Rica,Scuba Diving,Male,30,No,Tiger Shark
2017-05-30,2017,5,30,Provoked,Usa,Others,Female,20,No,Others
2017-04-29,2017,4,29,Unprovoked,South Africa,Surfing,Male,14,No,Unknown
2017-05-27,2017,5,27,Invalid,Australia,Fishing,Male,73,No,Unknown
2017-05-12,2017,5,12,Unprovoked,Others,Spearfishing,Male,41,No,Unknown
2017-05-06,2017,5,6,Provoked,Australia,Others,Male,29,No,Others
2017-05-06,2017,5,6,Unprovoked,Mexico,Snorkeling,Male,33,Yes,Unknown
2017-04-29,2017,4,29,Unprovoked,Usa,Swimming,Female,27,No,Unknown
2017-04-29,2017,4,29,Unprovoked,Reunion,Body Boarding,Male,28,Yes,Unknown
2017-04-29,2017,4,29,Unprovoked,Usa,Surfing,Female,33,No,Unknown
2017-04-27,2017,4,27,Unprovoked,New Zealand,Body Boarding,Female,27,No,Unknown
2017-04-26,2017,4,26,Invalid,Usa,Others,Female,27,Unknown,Others
2017-04-17,2017,4,17,Unprovoked,Usa,Others,Unknown,27,No,Unknown
2017-04-22,2017,4,22,Unprovoked,Others,Snorkeling,Female,40,No,Unknown
2017-05-28,2017,5,28,Unprovoked,Usa,Others,Male,27,No,Tiger Shark
2017-06-21,2017,6,21,Unprovoked,Usa,Swimming,Female,16,No,Unknown
2017-06-02,2017,6,2,Unprovoked,Bahamas,Snorkeling,Female,32,No,Tiger Shark
2017-06-04,2017,6,4,Unprovoked,Usa,Spearfishing,Male,27,No,Others
2017-06-07,2017,6,7,Unprovoked,Others,Surfing,Male,30,No,Others
